type	count
Journal Article	32854791
Research Support, U.S. Gov't, P.H.S.	1490357
Research Support, U.S. Gov't, Non-P.H.S.	913614
Comparative Study	1922707
Published Erratum	119190
English Abstract	1479451
Clinical Trial	536985
Randomized Controlled Trial	569636
Review	3073021
Case Reports	2278840
Congress	67379
Historical Article	369184
Biography	181618
Controlled Clinical Trial	95042
Retracted Publication	10736
Bibliography	16005
Editorial	629761
Letter	1219531
Research Support, Non-U.S. Gov't	8334200
Directory	6648
News	215948
Portrait	49386
Overall	27792
Technical Report	3229
Interview	30417
Clinical Conference	7606
Multicenter Study	325465
Autobiography	3974
Dictionary	545
Guideline	16658
Research Support, N.I.H., Extramural	1404898
Practice Guideline	30231
Comment	980745
Systematic Review	195955
Consensus Development Conference	12568
Consensus Development Conference, NIH	817
Retraction of Publication	11321
Duplicate Publication	911
Corrected and Republished Article	1637
Evaluation Study	263452
Clinical Trial, Phase II	38265
Meta-Analysis	160800
Clinical Trial, Phase I	23926
Clinical Trial, Phase III	20750
Classical Article	6701
Festschrift	1698
Legal Case	11070
Periodical Index	331
Clinical Trial, Phase IV	2341
Interactive Tutorial	280
Lecture	6943
Twin Study	9630
Scientific Integrity Review	271
Legislation	1675
Address	5375
Validation Study	110232
Introductory Journal Article	58099
Patient Education Handout	5543
Expression of Concern	1224
Newspaper Article	18296
Research Support, N.I.H., Intramural	66784
Government Publication	175
Observational Study	126309
Evaluation Studies	26
Video-Audio Media	36229
Clinical Study	4484
Webcast	1109
Research Support, American Recovery and Reinvestment Act	2185
Personal Narrative	6216
Pragmatic Clinical Trial	2220
Dataset	1430
Equivalence Trial	1053
Clinical Trial Protocol	8050
Adaptive Clinical Trial	37
Clinical Trial, Veterinary	1803
Observational Study, Veterinary	368
Randomized Controlled Trial, Veterinary	2863
Preprint	4834
Validation Studies	2
